Date;PEG
2013-01;27.7290322580644
2013-02;28.8892857142856
2013-03;33.0996774193548
2013-04;30.7648333333333
2013-05;28.8564516129032
2013-06;27.5451666666666
2013-07;27.6587096774194
2013-08;26.1304838709677
2013-09;27.5996666666666
2013-10;27.3738709677419
2013-11;29.1006666666666
2013-12;33.4124193548387
2014-01;29.8122580645161
2014-02;26.7007142857142
2014-03;24.5049999999999
2014-04;22.2028333333333
2014-05;22.113064516129
2014-06;19.9823333333333
2014-07;19.4814516129032
2014-08;19.0982258064516
2014-09;24.1905
2014-10;23.3951612903225
2014-11;22.4926666666667
2014-12;23.0609677419354
2015-01;20.8762903225806
2015-02;23.3291071428571
2015-03;22.3387096774193
2015-04;22.0191666666666
2015-05;20.9982258064516
2015-06;20.9258333333333
2015-07;21.0456451612903
2015-08;19.8627419354838
2015-09;19.2351666666667
2015-10;18.5566129032257
2015-11;17.6121666666666
2015-12;16.7214516129031
2016-01;14.3775806451613
2016-02;12.8044827586207
2016-03;12.7275806451613
2016-04;12.2355
2016-05;13.3706451612903
2016-06;14.4708333333332
2016-07;14.8012903225806
2016-08;13.8267741935483
2016-09;14.3661666666666
2016-10;16.3204838709676
2016-11;18.9909999999999
2016-12;19.8753225806451
2017-01;27.6524193548386
2017-02;20.4328571428571
2017-03;15.8959677419354
2017-04;16.0569999999999
2017-05;15.7498387096774
2017-06;15.1768333333333
2017-07;14.9656451612903
2017-08;15.8525806451613
2017-09;17.2714
2017-10;17.4715806451613
2017-11;21.5739999999999
2017-12;22.7221612903225
2018-01;18.7810161290322
2018-02;20.7658035714285
2018-03;23.2529677419354
2018-04;20.2359833333333
2018-05;21.9011451612903
2018-06;22.9398833333333
2018-07;23.8452580645161
2018-08;24.9710161290322
2018-09;27.9072166666666
2018-10;25.5723870967742
2018-11;24.4974666666666
2018-12;23.7376451612903
2019-01;21.9198387096774
2019-02;18.3168928571428
2019-03;15.7954516129032
2019-04;15.113
2019-05;13.5229032258064
2019-06;10.2084666666666
2019-07;10.8696129032258
2019-08;10.2495161290322
2019-09;9.64243333333333
2019-10;10.088064516129
2019-11;14.1961333333333
2019-12;13.1164838709677
2020-01;11.2236451612903
2020-02;9.19320689655172
2020-03;8.48258064516129
2020-04;6.47003333333333
2020-05;4.51467741935483
2020-06;4.9539
2020-07;4.80722580645161
2020-08;7.23774193548387
2020-09;10.6385333333333
2020-10;13.6487096774193
2020-11;13.5638
2020-12;16.1229677419354
2021-01;20.587
2021-02;17.3706785714285
2021-03;17.3442580645161
2021-04;19.9657999999999
2021-05;24.6379999999999
2021-06;28.3428666666666
2021-07;35.7508387096774
2021-08;43.7034193548387
2021-09;61.4887999999999
2021-10;83.8722903225806
2021-11;79.8567333333333
2021-12;113.516096774193
2022-01;83.1069677419354
2022-02;78.6992142857143
2022-03;123.569129032258
2022-04;88.6092
2022-05;75.8459999999999
2022-06;93.2682666666666
2022-07;123.62829032258
2022-08;170
2022-09;152
2022-10;112
2022-11;105
2022-12;112
