DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2011,0.0826,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2012,0.0846,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2013,0.0924,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2014,0.0832,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2015,0.0942,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2016,0.0956,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2017,0.0955,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2018,0.0979,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2019,0.0997,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2020,0.0997,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,BG,2021,0.1024,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2010,0.1858,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2011,0.2050,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2012,0.2781,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2013,0.2760,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2014,0.2291,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2015,0.1957,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2016,0.1527,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2017,0.1863,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2018,0.1893,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2019,0.2203,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2020,0.2133,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CY,2021,0.1976,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2010,0.1496,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2011,0.1659,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2012,0.1664,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2013,0.1681,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2014,0.1388,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2015,0.1385,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2016,0.1420,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2017,0.1438,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2018,0.1573,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2019,0.1748,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2020,0.1841,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,CZ,2021,0.1802,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2010,0.2375,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2011,0.2528,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2012,0.2595,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2013,0.2919,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2014,0.2981,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2015,0.2951,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2016,0.2969,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2017,0.3048,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2018,0.2987,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2019,0.3088,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2020,0.3043,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DE,2021,0.3193,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2010,0.2670,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2011,0.2908,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2012,0.2997,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2013,0.3000,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2014,0.3042,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2015,0.3068,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2016,0.3088,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2017,0.3049,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2018,0.3126,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2019,0.2984,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2020,0.2833,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,DK,2021,0.2900,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2010,0.1761,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2011,0.1893,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2012,0.1972,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2013,0.2112,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2014,0.2161,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2015,0.2199,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2016,0.2162,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2017,0.2208,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2018,0.2220,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2019,0.2295,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2020,0.2263,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EA,2021,0.2322,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2010,0.0970,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2011,0.0973,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2012,0.1096,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2013,0.1351,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2014,0.1307,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2015,0.1302,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2016,0.1208,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2017,0.1207,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2018,0.1348,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2019,0.1357,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2020,0.1236,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EE,2021,0.1324,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2010,0.1181,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2011,0.1250,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2012,0.1391,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2013,0.1563,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2014,0.1767,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2015,0.1767,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2016,0.1716,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2017,0.1711,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,EL,2018,0.1672,
