Date,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Ech. physiques (MW),Stockage batterie
2013-01-05,32,298229.0,37915.0,185356.0,8284.0,16.0,48.0,3495.0,62941.0,0.0
2013-01-05,44,259598.0,15357.0,464735.0,3291.0,208.0,61766.0,2958.0,-279478.0,0.0
2013-01-05,52,164331.0,7326.0,0.0,144.0,106.0,52.0,1721.0,154869.0,0.0
2013-01-05,53,137267.0,3113.0,0.0,452.0,79.0,3139.0,933.0,129932.0,0.0
2013-01-05,75,276628.0,12354.0,314580.0,1388.0,878.0,18483.0,6744.0,-78023.0,0.0
2013-01-05,76,236933.0,4221.0,111534.0,22155.0,2206.0,53448.0,3871.0,52011.0,0.0
2013-01-05,84,397587.0,13058.0,614265.0,5195.0,639.0,176800.0,3157.0,-382922.0,0.0
2013-01-05,93,267848.0,15479.0,0.0,1557.0,2898.0,62143.0,3051.0,182618.0,0.0
2013-01-06,11,430898.0,33660.0,0.0,0.0,17.0,0.0,6577.0,390575.0,0.0
2013-01-06,24,111768.0,4682.0,490326.0,295.0,61.0,1500.0,1133.0,-386281.0,0.0
2013-01-06,27,118531.0,11509.0,0.0,182.0,54.0,6181.0,648.0,99803.0,0.0
2013-01-06,28,176259.0,16276.0,465705.0,383.0,37.0,696.0,2523.0,-309500.0,0.0
2013-01-06,32,283178.0,37717.0,183494.0,3560.0,73.0,48.0,3561.0,54553.0,0.0
2013-01-06,44,244170.0,15470.0,406765.0,2251.0,325.0,60296.0,2918.0,-234237.0,0.0
2013-01-06,52,163122.0,5374.0,0.0,292.0,145.0,63.0,1680.0,155470.0,0.0
2013-01-06,53,134135.0,3056.0,0.0,381.0,67.0,2599.0,944.0,127443.0,0.0
2013-01-06,75,275549.0,12474.0,315275.0,1871.0,696.0,15053.0,6612.0,-76666.0,0.0
2013-01-06,76,231431.0,4251.0,110208.0,16178.0,2254.0,44191.0,4036.0,67627.0,0.0
2013-01-06,84,383078.0,13077.0,628604.0,4374.0,802.0,140839.0,3159.0,-378866.0,0.0
2013-01-06,93,257432.0,15320.0,0.0,994.0,2926.0,53585.0,2847.0,181656.0,0.0
2013-01-07,11,496093.0,47514.0,0.0,9.0,37.0,0.0,6207.0,442252.0,0.0
2013-01-07,24,132686.0,4710.0,481366.0,675.0,107.0,1257.0,1104.0,-356610.0,0.0
2013-01-07,27,144632.0,18203.0,0.0,675.0,99.0,5676.0,626.0,119178.0,0.0
2013-01-07,28,204619.0,37877.0,489513.0,679.0,28.0,697.0,2538.0,-326874.0,0.0
2013-01-07,32,327038.0,50923.0,214384.0,3296.0,25.0,48.0,3411.0,54766.0,0.0
2013-01-07,44,290058.0,102403.0,439079.0,667.0,900.0,58507.0,2742.0,-307598.0,0.0
2013-01-07,52,200869.0,57672.0,0.0,58.0,139.0,62.0,1572.0,141257.0,0.0
2013-01-07,53,163112.0,2999.0,0.0,1199.0,80.0,2738.0,912.0,155599.0,0.0
2013-01-07,75,318298.0,12379.0,319299.0,586.0,512.0,29049.0,6545.0,-50282.0,0.0
2013-01-07,76,262709.0,4133.0,119430.0,9646.0,2219.0,76023.0,3873.0,52621.0,0.0
2013-01-07,84,446902.0,20604.0,640436.0,4054.0,910.0,200697.0,3069.0,-404013.0,0.0
2013-01-07,93,270102.0,30043.0,0.0,798.0,2905.0,67403.0,2564.0,166284.0,0.0
2013-01-08,11,525381.0,52653.0,0.0,0.0,9.0,0.0,6264.0,466386.0,0.0
2013-01-08,24,141547.0,4634.0,473216.0,2.0,65.0,655.0,945.0,-338032.0,0.0
2013-01-08,27,155303.0,18054.0,0.0,0.0,67.0,9655.0,656.0,126735.0,0.0
2013-01-08,28,207185.0,49995.0,493972.0,1713.0,44.0,749.0,2648.0,-342087.0,0.0
2013-01-08,32,347583.0,57057.0,219706.0,4159.0,37.0,48.0,3530.0,62890.0,0.0
2013-01-08,44,317727.0,116974.0,473788.0,627.0,181.0,57869.0,2830.0,-327629.0,0.0
2013-01-08,52,208498.0,69785.0,0.0,97.0,192.0,78.0,1557.0,136684.0,0.0
2013-01-08,53,164850.0,2999.0,0.0,4699.0,119.0,2969.0,863.0,153612.0,0.0
2013-01-08,75,331171.0,12387.0,320475.0,37.0,541.0,31492.0,6492.0,-40461.0,0.0
